Title,Year,Directors,WatchedDate
Monty Python and the Holy Grail,1975,Terry Gilliam,2015-07-05
Heat,1995,Michael Mann,2015-07-15
Rashomon,1950,Akira Kurosawa,2015-07-17
Die Hard,1988,John McTiernan,2015-07-22
Batman Begins,2005,Christopher Nolan,2015-07-24
Yojimbo,1961,Akira Kurosawa,2015-08-05
Unforgiven,1992,Clint Eastwood,2015-08-08
Downfall,2004,Oliver Hirschbiegel,2015-08-23
Children of Heaven,1997,Majid Majidi,2015-08-28
Some Like It Hot,1959,Billy Wilder,2015-09-10
Howl's Moving Castle,2004,Hayao Miyazaki,2015-09-13
The Great Escape,1963,John Sturges,2015-09-18
My Neighbor Totoro,1988,Hayao Miyazaki,2015-09-28
A Beautiful Mind,2001,Ron Howard,2015-10-03
All About Eve,1950,Joseph L. Mankiewicz,2015-10-15
Pan's Labyrinth,2006,Guillermo del Toro,2015-10-18
Casino,1995,Martin Scorsese,2015-10-26
Raging Bull,1980,Martin Scorsese,2015-10-27
The Secret in Their Eyes,2009,Juan José Campanella,2015-11-02
Lock Stock and Two Smoking Barrels,1998,Guy Ritchie,2015-11-18
The Wolf of Wall Street,2013,Martin Scorsese,2015-11-26
The Treasure of the Sierra Madre,1948,John Huston,2015-12-02
Chinatown,1974,Roman Polanski,2015-12-15
The Gold Rush,1925,Charles Chaplin,2016-01-01
There Will Be Blood,2007,Paul Thomas Anderson,2016-01-02
V for Vendetta,2005,James McTeigue,2016-01-06
Inside Out,2015,Pete Docter,2016-02-24
The Seventh Seal,1957,Ingmar Bergman,2016-02-27
Warrior,2011,Gavin O'Connor,2016-02-28
No Country for Old Men,2007,Ethan Coen,2016-03-19
Trainspotting,1996,Danny Boyle,2016-03-21
Room,2015,Lenny Abrahamson,2016-03-23
The Sixth Sense,1999,M. Night Shyamalan,2016-04-01
Shutter Island,2010,Martin Scorsese,2016-04-11
The Thing,1982,John Carpenter,2016-05-14
The Bridge on the River Kwai,1957,David Lean,2016-05-16
Blade Runner,1982,Ridley Scott,2016-05-30
On the Waterfront,1954,Elia Kazan,2016-06-01
Jurassic Park,1993,Steven Spielberg,2016-06-23
Finding Nemo,2003,Andrew Stanton,2016-07-10
Fargo,1996,Ethan Coen,2016-08-10
Gran Torino,2008,Clint Eastwood,2016-08-20
Kill Bill: Vol. 1,2003,Quentin Tarantino,2016-09-13
The Deer Hunter,1978,Michael Cimino,2016-09-16
The Truman Show,1998,Peter Weir,2016-09-28
The Big Lebowski,1998,Joel Coen,2016-10-01
In the Name of the Father,1993,Jim Sheridan,2016-10-03
Gone Girl,2014,David Fincher,2016-10-10
Hacksaw Ridge,2016,Mel Gibson,2016-11-07
Mr. Smith Goes to Washington,1939,Frank Capra,2016-11-16
How to Train Your Dragon,2010,Dean DeBlois,2016-11-23
The Grand Budapest Hotel,2014,Wes Anderson,2016-11-24
