place, type,city, year
Président - Chef Érick Jacquin, Restaurante, São Paulo, 2023
Speedland Kart Center, Corrida de Kart, São Paulo, 2023
Cosy - Espaço de Eventos (Noite de Cassino), Festas, São Paulo, 2023
Tokyo 東京, Balada, São Paulo, 2023
Japan House São Paulo, Museu, São Paulo, 2023
Ecopardo Turismo e Aventura (Rafting), Aventura, Caconde, 2023
MASP (Museu de Arte de São Paulo), Museu, São Paulo, 2022
Museu Histórico da Imigração Japonesa no Brasil, Museu, São Paulo, 2023
