event_name, type, date
.NET Conf 2022, Tecnology, 08/11/2022
The Game Awards 2022, Video Games, 08/12/2023
CES 2023, Tecnology, 05/01/2023
PlayStation Showcase 2023, Video Games, 24/05/2023
Meta Quest Gaming Showcase 2023, Video Games, 01/06/2023
Worldwide Developers Conference (WWDC) - Apple Inc., Tecnology, 05/06/2023
Summer Game Fest 2023, Video Games, 08/06/2023
Xbox Games Showcase 2023, Video Games, 11/06/2023
Gamescom 2023, Video Games, 23/08/2023
Meta Connect, Tecnology, 27/09/2023
