title,beat_date,year_I_played,plataform,score
Grand Theft Auto: San Andreas, 16/02/15, 2015,PC, 3
Grim Fandango, 17/02/15,2015,PC, 3
Fallout 3, 23/06/15, 2015,PC, 3
Super Mario Bros., 14/07/15, 2015,PC, 3
LIMBO, 01/08/15, 2015,PC, 4
Grand Theft Auto V, 31/10/15, 2015,PC, 5
Life is Strange, 11/11/15, 2015,PC, 4
The Last of Us, 11/12/15, 2015,PlayStation 3, 4
Journey, 11/12/15, 2015,PlayStation 3, 5
Trine, 25/12/15, 2015,PC, 3
Trine 2: Complete Story, 31/12/15, 2015,PC, 3
Fallout 4, 31/12/15, 2015,PC, 3
Half-Life 2, 08/01/16, 2016,PC, 5
Half-Life 2: Lost Coast, 08/01/16, 2016,PC, 3
Half-Life 2: Episode One, 11/01/16, 2016,PC, 3
Half-Life 2: Episode Two, 20/01/16, 2016,PC, 3
The Witcher 3: Wild Hunt, 11/07/16, 2016,PC, 5
INSIDE, 12/12/16, 2016,PC, 5
Metal Gear Solid V: The Phantom Pain, 01/02/17, 2017,PC, 3
Resident Evil 7: Biohazard, 18/03/17, 2017,PC, 3
The Witcher 3: Wild Hunt – Hearts of Stone, 28/05/2017, 2017,PC, 3
The Witcher 3: Wild Hunt – Blood and Wine, 16/11/2019, 2019,PC, 3
The Legend of Zelda, 07/07/2020, 2020,PC, 4
Celeste, 23/09/2020, 2020,PC, 4
Super Mario Odyssey, 09/10/2020, 2020,Nintendo Switch, 5
Red Dead Redemption 2, 12/10/2020, 2020,PC, 3
The Witness, 16/10/2020, 2020,PC, 3
The Unfinished Swan, 17/10/2020, 2020,PC, 3
Death Stranding, 24/10/2020, 2020,PC, 3
The Legend of Zelda: Breath of the Wild, 25/10/2020, 2020,Nintendo Switch, 4
Florence, 26/10/2020, 2020,PC, 3
What Remains of Edith Finch, 26/10/2020, 2020,PC, 4
Disco Elysium, 12/12/2020, 2020,PC, 5
Hades, 20/01/2021, 2021,PC, 3
Resident Evil 2 (2019), 28/01/2021, 2021,PC, 4
