title,hours,plataform
Battlefield 3, 245, ea games
Grand Theft Auto V, 182, steam
The Legend of Zelda: Tears of the Kingdom, 110, nintendo
Sid Meier's Civilization V, 101, steam
Garry's Mod, 90, steam
Elden Ring, 68, psn
Metal Gear Solid V: The Phantom Pain, 57, steam
Left 4 Dead 2, 51, steam
Payday 2, 47, steam
