name, price
Nintendo Switch Lite, 200
Xbox Series S, 300
Meta Quest 3S, 300
Nintendo Switch, 300
Nintendo Switch OLED, 350
PS5 Slim Digital (Astro Bot Bundle), 400
Steam Deck (256GB LCD), 400
PS5 Slim Standard (Astro Bot Bundle), 450
Nintendo Switch 2, 450
Nintendo Switch 2 (Mario Kart World Bundle), 500
Xbox Series X, 500
Meta Quest 3, 500
Steam Deck (512GB OLED), 550
PS5 Pro, 700
