title,author,pages,publication_year,genre
O Grande Gatsby,F. Scott Fitzgerald,189,1925,Tragédia/Ficção Literária
O Apanhador no Campo de Centeio,J.D. Salinger,250,1951,Bildungsroman/Ficção Literária
O Estrangeiro,Albert Camus,180,1942,Ficção Filosófica/Ficção Absurda
O Processo,Franz Kafka,256,1925,Ficção Absurda/Ficção Filosófica
O Mundo se Despedaça,Chinua Achebe,209,1958,Literatura Pós-colonial/Ficção Literária
Ficções,Jorge Luis Borges,121,1944,Contos/Ficção Filosófica
Coração das Trevas,Joseph Conrad,96,1899,Ficção Modernista/Ficção Existencial
Ao Farol,Virginia Woolf,209,1927,Ficção Modernista/Romance Psicológico
